timestamp,cpu_percent,cpu_freq_mhz,cpu_temp_celsius,memory_percent,memory_used_gb,memory_total_gb,disk_percent,disk_used_gb,disk_total_gb,load_1min,load_5min,load_15min,network_bytes_sent,network_bytes_recv
2025-07-27 22:00:46,0.0,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.32,0.2,0.19,1399024,6651532
2025-07-27 22:00:57,0.2,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.27,0.2,0.18,1408682,6743415
2025-07-27 22:01:08,0.0,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.19,0.18,1410558,6744203
2025-07-27 22:01:19,0.0,1800.0,37.0,5.4,0.28,7.63,30.2,17.57,58.2,0.26,0.2,0.18,1420700,6819049
2025-07-27 22:01:30,7.1,1800.0,37.0,5.4,0.28,7.63,30.2,17.57,58.2,0.22,0.19,0.18,1425740,6823784
2025-07-27 22:01:41,12.9,1800.0,36.02,5.4,0.28,7.63,30.2,17.57,58.2,0.18,0.18,0.18,1434268,6896743
2025-07-27 22:01:52,5.8,1800.0,36.51,5.4,0.28,7.63,30.2,17.57,58.2,0.15,0.18,0.18,1435178,6897680
2025-07-27 22:02:03,0.2,600.0,36.02,5.4,0.28,7.63,30.2,17.57,58.2,0.19,0.18,0.18,1443731,6983937
2025-07-27 22:02:14,0.0,600.0,36.02,5.4,0.28,7.63,30.2,17.57,58.2,0.16,0.18,0.18,1446683,6985610
2025-07-27 22:02:25,0.8,600.0,36.51,5.4,0.28,7.63,30.2,17.57,58.2,0.13,0.17,0.18,1456633,7054201
2025-07-27 22:02:36,0.0,600.0,36.51,5.4,0.28,7.63,30.2,17.57,58.2,0.19,0.18,0.18,1458270,7055080
2025-07-27 22:02:47,0.0,600.0,35.54,5.4,0.28,7.63,30.2,17.57,58.2,0.16,0.17,0.18,1466759,7122494
2025-07-27 22:02:58,0.0,600.0,36.02,5.4,0.28,7.63,30.2,17.57,58.2,0.12,0.17,0.18,1468683,7127056
2025-07-27 22:03:09,0.8,600.0,37.0,5.4,0.28,7.63,30.2,17.58,58.2,0.1,0.16,0.17,1477869,7211205
2025-07-27 22:03:20,0.0,600.0,36.51,5.4,0.28,7.63,30.2,17.58,58.2,0.09,0.15,0.17,1479841,7215681
2025-07-27 22:03:31,0.0,600.0,36.02,5.4,0.28,7.63,30.2,17.58,58.2,0.15,0.16,0.18,1489479,7283539
